Type,Content
Total_Return,584.5297545
Internal_Rate_Return,11.66782096
Volatility,0.985392058
Sharpe_Ratio,0.565496933
Max_Drawdown,-0.332013864
Max_Drawdown_Start,2011/2/17 00:00
Max_Drawdown_End,2011/10/3 00:00
Max_Drawdown_Continuos_Days,228 days 00:00:00
Profit_Risk_Ratio,17.6055827
